circuit_name,moment,qubit,pauli,data_error_weight,syndrome_flipped,flag_flipped,measured_syndrome,classification
baseline,0,q(7),X,4,False,,0,not_correctable
baseline,0,q(7),Y,4,True,,1,not_correctable
baseline,0,q(7),Z,0,True,,1,correctable
baseline,1,q(7),X,3,False,,0,not_correctable
baseline,1,q(7),Y,3,True,,1,not_correctable
baseline,1,q(7),Z,0,True,,1,correctable
baseline,1,q(3),X,1,False,,0,correctable
baseline,1,q(3),Y,1,False,,0,correctable
baseline,1,q(3),Z,1,False,,0,correctable
baseline,2,q(7),X,2,False,,0,not_correctable
baseline,2,q(7),Y,2,True,,1,not_correctable
baseline,2,q(7),Z,0,True,,1,correctable
baseline,2,q(4),X,1,False,,0,correctable
baseline,2,q(4),Y,1,False,,0,correctable
baseline,2,q(4),Z,1,False,,0,correctable
baseline,3,q(7),X,1,False,,0,correctable
baseline,3,q(7),Y,1,True,,1,correctable
baseline,3,q(7),Z,0,True,,1,correctable
baseline,3,q(5),X,1,False,,0,correctable
baseline,3,q(5),Y,1,False,,0,correctable
baseline,3,q(5),Z,1,False,,0,correctable
baseline,4,q(7),X,0,False,,0,correctable
baseline,4,q(7),Y,0,True,,1,correctable
baseline,4,q(7),Z,0,True,,1,correctable
baseline,4,q(6),X,1,False,,0,correctable
baseline,4,q(6),Y,1,False,,0,correctable
baseline,4,q(6),Z,1,False,,0,correctable
baseline,5,q(7),X,0,True,,1,correctable
baseline,5,q(7),Y,0,True,,1,correctable
baseline,5,q(7),Z,0,False,,0,correctable
