Qubit   Moment  Pauli  Weight  Classification      
---------------------------------------------------
q(7)    0       X      4       not_correctable     
q(7)    0       Y      4       not_correctable     
q(7)    0       Z      0       correctable         
q(7)    1       X      3       not_correctable     
q(7)    1       Y      3       not_correctable     
q(7)    1       Z      0       correctable         
q(3)    1       X      1       correctable         
q(3)    1       Y      1       correctable         
q(3)    1       Z      1       correctable         
q(7)    2       X      2       not_correctable     
q(7)    2       Y      2       not_correctable     
q(7)    2       Z      0       correctable         
q(4)    2       X      1       correctable         
q(4)    2       Y      1       correctable         
q(4)    2       Z      1       correctable         
q(7)    3       X      1       correctable         
q(7)    3       Y      1       correctable         
q(7)    3       Z      0       correctable         
q(5)    3       X      1       correctable         
q(5)    3       Y      1       correctable         
q(5)    3       Z      1       correctable         
q(7)    4       X      0       correctable         
q(7)    4       Y      0       correctable         
q(7)    4       Z      0       correctable         
q(6)    4       X      1       correctable         
q(6)    4       Y      1       correctable         
q(6)    4       Z      1       correctable         
q(7)    5       X      0       correctable         
q(7)    5       Y      0       correctable         
q(7)    5       Z      0       correctable         
