circuit_name,moment,qubit,pauli,data_error_weight,syndrome_flipped,flag_flipped,measured_syndrome,classification
flagged,0,q(7),X,4,False,False,0,not_correctable
flagged,0,q(7),Y,4,True,False,1,not_correctable
flagged,0,q(7),Z,0,True,False,1,correctable
flagged,1,q(7),X,4,False,True,0,detected_by_flag
flagged,1,q(7),Y,4,True,True,1,detected_by_flag
flagged,1,q(7),Z,0,True,False,1,correctable
flagged,1,q(8),X,0,False,True,0,detected_by_flag
flagged,1,q(8),Y,0,True,True,1,detected_by_flag
flagged,1,q(8),Z,0,True,False,1,correctable
flagged,2,q(7),X,3,False,True,0,detected_by_flag
flagged,2,q(7),Y,3,True,True,1,detected_by_flag
flagged,2,q(7),Z,0,True,False,1,correctable
flagged,2,q(3),X,1,False,False,0,correctable
flagged,2,q(3),Y,1,False,False,0,correctable
flagged,2,q(3),Z,1,False,False,0,correctable
flagged,3,q(7),X,2,False,True,0,detected_by_flag
flagged,3,q(7),Y,2,True,True,1,detected_by_flag
flagged,3,q(7),Z,0,True,False,1,correctable
flagged,3,q(4),X,1,False,False,0,correctable
flagged,3,q(4),Y,1,False,False,0,correctable
flagged,3,q(4),Z,1,False,False,0,correctable
flagged,4,q(7),X,1,False,True,0,detected_by_flag
flagged,4,q(7),Y,1,True,True,1,detected_by_flag
flagged,4,q(7),Z,0,True,False,1,correctable
flagged,4,q(5),X,1,False,False,0,correctable
flagged,4,q(5),Y,1,False,False,0,correctable
flagged,4,q(5),Z,1,False,False,0,correctable
flagged,5,q(7),X,1,False,False,0,correctable
flagged,5,q(7),Y,1,True,False,1,correctable
flagged,5,q(7),Z,0,True,False,1,correctable
flagged,5,q(8),X,0,False,True,0,detected_by_flag
flagged,5,q(8),Y,0,False,True,0,detected_by_flag
flagged,5,q(8),Z,0,False,False,0,correctable
flagged,6,q(7),X,0,False,False,0,correctable
flagged,6,q(7),Y,0,True,False,1,correctable
flagged,6,q(7),Z,0,True,False,1,correctable
flagged,6,q(6),X,1,False,False,0,correctable
flagged,6,q(6),Y,1,False,False,0,correctable
flagged,6,q(6),Z,1,False,False,0,correctable
flagged,7,q(7),X,0,True,False,1,correctable
flagged,7,q(7),Y,0,True,False,1,correctable
flagged,7,q(7),Z,0,False,False,0,correctable
