Qubit   Moment  Pauli  Weight  Classification      
---------------------------------------------------
q(7)    0       X      4       not_correctable     
q(7)    0       Y      4       not_correctable     
q(7)    0       Z      0       correctable         
q(7)    1       X      4       detected_by_flag    
q(7)    1       Y      4       detected_by_flag    
q(7)    1       Z      0       correctable         
q(8)    1       X      0       detected_by_flag    
q(8)    1       Y      0       detected_by_flag    
q(8)    1       Z      0       correctable         
q(7)    2       X      3       detected_by_flag    
q(7)    2       Y      3       detected_by_flag    
q(7)    2       Z      0       correctable         
q(3)    2       X      1       correctable         
q(3)    2       Y      1       correctable         
q(3)    2       Z      1       correctable         
q(7)    3       X      2       detected_by_flag    
q(7)    3       Y      2       detected_by_flag    
q(7)    3       Z      0       correctable         
q(4)    3       X      1       correctable         
q(4)    3       Y      1       correctable         
q(4)    3       Z      1       correctable         
q(7)    4       X      1       detected_by_flag    
q(7)    4       Y      1       detected_by_flag    
q(7)    4       Z      0       correctable         
q(5)    4       X      1       correctable         
q(5)    4       Y      1       correctable         
q(5)    4       Z      1       correctable         
q(7)    5       X      1       correctable         
q(7)    5       Y      1       correctable         
q(7)    5       Z      0       correctable         
q(8)    5       X      0       detected_by_flag    
q(8)    5       Y      0       detected_by_flag    
q(8)    5       Z      0       correctable         
q(7)    6       X      0       correctable         
q(7)    6       Y      0       correctable         
q(7)    6       Z      0       correctable         
q(6)    6       X      1       correctable         
q(6)    6       Y      1       correctable         
q(6)    6       Z      1       correctable         
q(7)    7       X      0       correctable         
q(7)    7       Y      0       correctable         
q(7)    7       Z      0       correctable         
